"ch","s"
"別","['pyel']"
"尊","['cwon']"
"卑","['pi']"
"宮","['kwuG']"
"殿","['tyen']"
"闕","['kwel']"
"宇","['Gwu']"
"宸","['sin']"
"厦","['ha']"
"衙","['Ga']"
"府","['pwu']"
"官","['kwan']"
"司","['so']"
"庠","['syaG']"
"序","['sye', 'sye']"
"倉","['chaG']"
"廩","['lum']"
"庾","['Gyu']"
"庫","['kwo']"
"神","['sin']"
"祠","['so']"
"僧","['suG']"
"寺","['so', 'si']"
"道","['two']"
"路","['lwo']"
"城","['syeG']"
"市","['si']"
"橋","['kyo']"
"梯","['tyey']"
"溝","['kwu']"
"渠","['ke']"
"閭","['lye']"
"井","['cyeG']"
"隣","['nin']"
"里","['li']"
"京","['kyeG']"
"牧","['mwok']"
"州","['cyu']"
"縣","['hyen']"
"村","['chwon']"
"驛","['Gyek']"
"館","['kwan']"
"院","['Gwen']"
"舟","['cyu']"
"船","['syen']"
"帆","['pem']"
"楫","['cwup']"
"貢","['kwoG']"
"稅","['syey']"
"叢","['chwoG']"
"集","['cip']"
"此","['cho']"
"其","['ki', 'ki']"
"古","['kwo']"
"今","['kum']"
"帝","['tyey']"
"王","['GwaG']"
"都","['two']"
"邑","['Gup']"
"父","['pwu']"
"母","['mwo']"
"兄","['hyeG']"
"弟","['tyey']"
"夫","['pwu']"
"妻","['chye']"
"姊","['co']"
"妹","['moy']"
"祖","['cwo']"
"孫","['swon']"
"叔","['syuk']"
"姪","['til']"
"舅","['kwu', 'kwu']"
"姑","['kwo', 'kwo']"
"婦","['pwu', 'pwu']"
"壻","['sye']"
"奴","['nwo']"
"婢","['pi']"
"妾","['chyep']"
"僕","['pwok']"
"皆","['koy']"
"吾","['Gwo']"
"眷","['kwe']"
"屬","['syok', 'chyok']"
"頭","['twu']"
"頂","['tyeG']"
"首","['syu']"
"額","['Goyk']"
"眉","['mi']"
"眼","['Gan']"
"耳","['Gi']"
"目","['mwok']"
"顔","['Gan']"
"面","['myen']"
"口","['kwu']"
"鼻","['pi']"
"咽","['Gyen', 'Gyel']"
"喉","['hwu']"
"齒","['chi']"
"舌","['syel']"
"鬢","['pin']"
"髮","['pal']"
"腮","['suy']"
"頤","['Gi']"
"手","['syu']"
"掌","['cyaG']"
"拳","['kwen']"
"指","['ci']"
"脣","['syun']"
"頷","['ham']"
"鬚","['syu']"
"髥","['Gyem']"
"項","['haG']"
"背","['poy']"
"肩","['kyen']"
"臂","['pi']"
"膺","['GuG']"
"腋","['Goyk']"
"股","['kwo']"
"肱","['kwoG']"
"肘","['tyu']"
"腕","['Gwan']"
"腦","['nwo']"
"髓","['syu']"
"乳","['Gyu']"
"臍","['cyey']"
"腰","['Gyo']"
"腹","['pwok']"
"臀","['twun']"
"膝","['sul']"
"脚","['kak']"
"足","['cyok']"
"肌","['kuy']"
"膚","['pwu']"
"筋","['kun']"
"骨","['kwol']"
"腎","['sin']"
"膽","['tam']"
"血","['hyel']"
"脉","['moyk']"
"肝","['kan']"
"肺","['phyey']"
"脾","['pi']"
"胃","['Gwuy']"
"臟","['caG']"
"腸","['tyaG']"
"黶","['Gyem']"
"痣","['ci']"
"汗","['han']"
"涎","['Gyen']"
"淚","['nyu']"
"涕","['thyey']"
"斯","['so']"
"我","['Ga']"
"身","['sin']"
"體","['thyey']"
"廳","['thyeG']"
"房","['paG']"
"樓","['lwu']"
"閣","['kak']"
"臺","['toy']"
"室","['sil']"
"亭","['tyeG']"
"幕","['mak']"
"茅","['mwo']"
"舍","['sya']"
"瓦","['Gwa']"
"宅","['thoyk']"
"板","['phan']"
"扉","['pi']"
"粉","['pwun']"
"壁","['pyek']"
"棟","['twoG']"
"緣","['Gyen']"
"梁","['lyaG']"
"柱","['tyu']"
"軒","['hen']"
"檻","['ham']"
"窓","['chaG']"
"戶","['hwo']"
"簷","['chyem']"
"甍","['moyG']"
"牖","['Gyu']"
"樞","['chyu']"
"堂","['taG']"
"閤","['hap']"
"屋","['Gwok']"
"廬","['nye']"
"門","['mwun']"
"庭","['tyeG']"
"階","['kyey']"
"砌","['chwey']"
"廚","['tyu']"
"竈","['cwo']"
"廐","['kwu']"
"廁","['cho', 'chuy']"
"墻","['cyaG']"
"籬","['li']"
"砧","['thim']"
"杵","['cye']"
"總","['chwoG']"
"爲","['Gwuy']"
"居","['ke']"
"處","['chye']"
"茵","['Gin']"
"簟","['tyem']"
"席","['syek']"
"褥","['Gyok']"
"簾","['lyem']"
"帳","['tyaG']"
"屛","['pyeG']"
"簇","['cwok']"
"床","['saG']"
"架","['ka']"
"杖","['tyaG']"
"屐","['kuk']"
"几","['kwey']"
"案","['Gan']"
"燈","['tuG']"
"燭","['chyok']"
"琴","['kum']"
"瑟","['sul']"
"琵","['pi']"
"琶","['pha']"
"笙","['soyG']"
"笛","['tyek']"
"棊","['kuy']"
"局","['kwuk']"
"梳","['swo']"
"鏡","['kyeG']"
"枕","['chim']"
"扇","['syen']"
"紙","['ci']"
"墨","['muk']"
"筆","['phil']"
"硯","['Gyen']"
"文","['mwun']"
"書","['sye']"
"冊","['choyk']"
"卷","['kwen', 'kwen']"
"例","['nyey']"
"在","['coy']"
"顧","['kwo']"
"眄","['myen']"
"金","['kum']"
"銀","['Gun']"
"銅","['twoG']"
"錫","['syek']"
"珠","['cyu']"
"玉","['Gwok']"
"圭","['kyu']"
"璧","['pyek']"
"錦","['kum']"
"繡","['syu']"
"綾","['luG']"
"羅","['la', 'la']"
"紬","['tyu']"
"絹","['kyen']"
"綃","['chyo']"
"紗","['sa']"
"錢","['cyen']"
"幣","['phyey']"
"珍","['tin']"
"寶","['pwo']"
"匹","['phil']"
"帛","['poyk']"
"美","['mi']"
"好","['hwo']"
"苧","['tye']"
"麻","['ma']"
"布","['phwo']"
"綿","['myen']"
"皮","['phi']"
"革","['hyek']"
"絲","['so']"
"氈","['cyen']"
"脂","['ci']"
"蠟","['nap']"
"油","['Gyu']"
"蜜","['mil']"
"麴","['kwuk']"
"糱","['Gel']"
"膠","['kyo']"
"漆","['chil']"
"米","['mi']"
"麪","['myen']"
"糧","['lyaG']"
"料","['nyo', 'nyo']"
"豈","['kuy']"
"非","['pi']"
"切","['cyel']"
"要","['Gyo']"
"鉢","['pal']"
"觴","['syaG']"
"杯","['poy']"
"椀","['Gwan']"
"匙","['si']"
"筯","['tye']"
"盤","['pan']"
"盞","['can']"
"樽","['cwun']"
"壺","['hwo']"
"缸","['haG']"
"甕","['GwoG']"
"甁","['pyeG']"
"盆","['pwun']"
"槽","['cwo']"
"桶","['thwoG']"
"鼎","['tyeG']"
"鑊","['hwak']"
"甑","['cuG']"
"釜","['pwu']"
"斛","['kwok']"
"衡","['hyeG']"
"升","['suG']"
"斗","['twu']"
"瓢","['phyo']"
"蓰","['so']"
"機","['kuy']"
"埈","['sa']"
"炭","['than']"
"爐","['lwo']"
"鐵","['thyel']"
"臼","['kwu']"
"籠","['lwoG']"
"函","['ham']"
"欌","['caG']"
"櫃","['kwey']"
"箕","['kuy']"
"筐","['kwaG']"
"箱","['syaG']"
"笥","['so']"
"斧","['pwu']"
"鎌","['kyem']"
"鋸","['ke']"
"鑿","['chak']"
"錐","['chyu']"
"鍼","['chim']"
"刀","['two']"
"尺","['chyek']"
"弓","['kwuG']"
"箭","['cyen']"
"劍","['kem[]']"
"矢","['si']"
"鋤","['se']"
"鍤","['sap']"
"耒","['lwoy']"
"耜","['so']"
"規","['kyu']"
"矩","['kwu']"
"準","['cyun']"
"繩","['suG']"
"綜","['cwoG']"
"縷","['lwu']"
"經","['kyeG']"
"緯","['Gwuy']"
"車","['ke', 'chya']"
"輿","['Gye']"
"盾","['syun']"
"棹","['two']"
"旌","['cyeG']"
"鉞","['Gwel']"
"蓋","['kay', 'kay']"
"纛","['two']"
"甲","['kap']"
"冑","['tyu']"
"戈","['kwa']"
"戟","['kuk']"
"旗","['kuy']"
"旄","['mwo']"
"麾","['hwuy']"
"幟","['chi']"
"鍾","['cyoG']"
"鼓","['kwo']"
"鉦","['cyeG']"
"磬","['kyeG']"
"凡","['pem']"
"云","['Gwun']"
"械","['kyey']"
"器","['kuy']"
"飯","['pan']"
"粥","['cyuk']"
"酒","['cyu']"
"漿","['cyaG']"
"膾","['hwoy']"
"炙","['cyek']"
"餠","['pyeG']"
"糖","['taG']"
"肉","['Gyuk']"
"羹","['koyG']"
"醎","['ham']"
"鹽","['Gyem']"
"菹","['cye']"
"醢","['hoy']"
"醋","['cwo', 'cwo']"
"醬","['cyaG']"
"炊","['chyu']"
"蒸","['cuG']"
"烹","['phoyG']"
"釀","['GyaG']"
"排","['poy']"
"設","['syel']"
"供","['kwoG']"
"養","['GyaG']"
"饌","['chan']"
"膳","['syen']"
"旣","['kuy']"
"嘉","['ka']"
"茶","['ta']"
"湯","['thaG']"
"兼","['kyem']"
"餉","['hyaG']"
"冠","['kwan']"
"冕","['myen']"
"袞","['kwon']"
"衫","['sam']"
"衣","['Guy']"
"裘","['kwu']"
"袍","['phwo']"
"衾","['kum']"
"簪","['com']"
"纓","['GyeG']"
"巾","['ken']"
"幘","['cyek']"
"珥","['Gi']"
"璫","['taG']"
"芾","['pul']"
"幅","['pwok', 'pwok']"
"襦","['Gyu']"
"襖","['Gwo']"
"紐","['lyu']"
"裳","['syaG']"
"裙","['kwun']"
"袴","['kwo']"
"裩","['kwon']"
"襠","['taG']"
"紳","['sin']"
"帶","['toy']"
"帽","['mwo', 'mwo']"
"笠","['nip']"
"韈","['mal']"
"鞵","['hye']"
"鞾","['hwa']"
"靸","['sap']"
"印","['Gin']"
"笏","['hwol']"
"組","['cwo']"
"璜","['hwaG']"
"鞍","['Gan']"
"轡","['pi']"
"袋","['toy']"
"囊","['naG']"
"鞘","['chyo']"
"鞭","['phyen']"
"釧","['chyen']"
"釵","['cha']"
"服","['pwok']"
"飾","['sik']"
"光","['kwaG']"
"華","['hwa']"
"容","['GyoG']"
"貌","['mwo']"
"心","['sim', 'sim']"
"行","['hoyG', 'hoyG']"
"志","['ci']"
"意","['Guy']"
"情","['cyeG']"
"性","['syeG']"
"聲","['syeG']"
"音","['Gum']"
"韻","['Gwun']"
"響","['hyaG']"
"蹤","['cyoG']"
"跡迹","['cyek']"
"形","['hyeG']"
"影","['GyeG']"
"才","['coy']"
"德","['tek']"
"智","['ti']"
"勇","['GyoG']"
"禮","['nyey']"
"義","['Guy']"
"孝","['hyo']"
"敬","['kyeG', 'kyeG']"
"語","['Ge']"
"言","['Gen']"
"談","['tam']"
"說","['syel', 'syey']"
"見","['kyen']"
"聞","['mwun']"
"視","['si']"
"聽","['thyeG']"
"職","['cik']"
"銜","['ham']"
"姓","['syeG']"
"氏","['si']"
"福","['pwok']"
"祿","['lwok']"
"壽","['syu']"
"命","['myeG', 'myeG']"
"賢","['hyen']"
"愚","['Gwu']"
"善","['syen']"
"惡","['Gak', 'Gwo']"
"肥","['pi']"
"瘦","['swu']"
"强","['kaG', 'kaG']"
"弱","['Gyak']"
"聖","['syeG']"
"庸","['GyoG']"
"剛","['kaG']"
"懦","['la']"
"忠","['thyuG']"
"邪","['sya']"
"仁","['Gin']"
"虐","['hak']"
"富","['pwu']"
"貴","['kwuy']"
"貧","['pin']"
"賤","['chyen']"
"奢","['sya']"
"侈","['chi']"
"儉","['kem']"
"朴","['pak']"
"愛","['Goy']"
"憎","['cuG']"
"恩","['Gun']"
"怨","['Gwen']"
"喜","['huy']"
"怒","['lwo']"
"憂","['Gwu']"
"樂","['lak', 'Gak']"
"謹","['kun']"
"放","['paG']"
"愼","['sin']"
"忽","['hwol', 'hwol']"
"慈","['co']"
"暴","['phwo', 'phwo']"
"貞","['tyeG']"
"黷","['twok']"
"虔","['ken']"
"恭","['kwoG']"
"莊","['cyaG']"
"肅","['syuk']"
"驕","['kyo']"
"慢","['man', 'man']"
"吝","['lin']"
"嗇","['soyk']"
"寬","['kwan']"
"弘","['hwoG']"
"武","['mwu']"
"毅","['Guy']"
"愿","['Gwen']"
"信","['sin', 'sin']"
"詐","['sa']"
"慝","['thuk']"
"英","['GyeG']"
"邁","['may']"
"癡","['thi']"
"騃","['Goy']"
"貪","['tham']"
"猾","['hwal']"
"廉","['lyem']"
"約","['Gyak', 'Gyak']"
"克","['kuk']"
"己","['kuy']"
"循","['syun']"
"理","['li']"
"徇","['syun']"
"私","['so']"
"縱","['cyoG']"
"欲","['Gyok', 'Gyok']"
"靜","['cyeG']"
"躁","['cwo']"
"巧","['kyo']"
"拙","['cwol']"
"敏","['min']"
"鈍","['twun']"
"博","['pak']"
"陋","['lwu']"
"潛","['com']"
"縝","['tin']"
"精","['cyeG']"
"究","['kwu']"
"覺","['kak']"
"悟","['Gwo']"
"盡","['cin']"
"透","['thwu']"
"良","['lyaG']"
"彦","['Gen']"
"姦","['kan']"
"譎","['hyul']"
"倜","['tyek']"
"儻","['taG']"
"駑","['lwo']"
"劣","['nyel']"
"坐","['cwa']"
"臥","['Gwa']"
"起","['kuy']"
"立","['lip']"
"進","['cin']"
"退","['thwoy']"
"出","['chyul']"
"入","['Gip']"
"登","['tuG']"
"降","['kaG', 'haG']"
"俯","['pwu']"
"仰","['GaG']"
"跪","['kwey']"
"伏","['pwok']"
"拜","['poy']"
"揖","['Gup']"
"走","['cwu']"
"步","['pwo']"
"追","['thyu']"
"逐","['thyuk']"
"超","['thyo']"
"騰","['tuG']"
"踐","['chyen']"
"蹋","['tap']"
"歌","['ka']"
"舞","['mwu']"
"嘯","['syo']"
"詠","['GyeG']"
"悲","['pi']"
"哀","['Goy']"
"啼","['tyey']"
"泣","['Gup']"
"睡","['syu']"
"眠","['myen']"
"夢","['mwoG']"
"寐","['moy']"
"喫","['kik']"
"飮","['Gum', 'Gim']"
"嚼","['cyak']"
"吸","['hup']"
"呼","['hwo', 'hwo']"
"唱","['chyaG']"
"喚","['hwan']"
"召","['syo']"
"吹","['chyuy']"
"噓","['he']"
"呑","['thon']"
"吐","['thwo']"
"彼","['phi']"
"余","['Gye']"
"自","['co']"
"他","['tha']"
"爾","['Gi']"
"汝","['Gye']"
"誰","['syu']"
"某","['mwo']"
"閑","['han', 'han']"
"忙","['maG']"
"勞","['lwo']"
"逸","['Gil']"
"醉","['chyuy']"
"醒","['syeG']"
"飢","['kuy']"
"飽","['phwo']"
"喧","['hwen']"
"笑","['syo']"
"宴","['Gyen']"
"游","['Gyu']"
"射","['sya', 'syek']"
"獵","['nyep']"
"漁","['Ge']"
"釣","['tyo']"
"耕","['kyeG']"
"種","['cyoG', 'cyoG']"
"耘","['Gwun']"
"耔","['co']"
"刈","['Gay']"
"束","['swok']"
"舂","['GyoG']"
"擣","['two']"
"陶","['two']"
"鑄","['cwu']"
"織","['cik']"
"紝","['Gim']"
"裁","['coy']"
"縫","['pwoG']"
"澣","['han', 'Gwan']"
"曝","['phwo', 'phwok']"
"齎","['cyey']"
"持","['ti']"
"歸","['kwuy', 'kwuy']"
"返","['pan']"
"率","['swol']"
"至","['ci']"
"領","['lyeG']"
"到","['two']"
"沐","['mwok']"
"浴","['Gyok']"
"盥","['kwan']"
"濯","['thak']"
"彈","['than']"
"拂","['pul']"
"灑","['sway']"
"掃","['swo']"
"學","['hok']"
"習","['sup']"
"讀","['twok']"
"誦","['syoG']"
"敎","['kyo']"
"誨","['hwoy']"
"講","['kaG']"
"導","['two']"
"擇","['thoyk']"
"術","['syul', 'syul']"
"啓","['kyey', 'kyey']"
"沃","['Gwok']"
"展","['tyen']"
"蘊","['Gwon']"
"匡","['kwaG']"
"輔","['pwo']"
"勤","['kun']"
"懇","['kon']"
"疏","['swo', 'swo']"
"奏","['cwu']"
"欽","['hum']"
"承","['suG']"
"廟","['myo']"
"社","['sya']"
"澄","['tiG', 'tiG']"
"朗","['laG']"
"壼","['kwon']"
"廊","['laG']"
"抖","['twu', 'twu']"
"擻","['swu', 'swu']"
"紀","['kuy']"
"綱","['kaG']"
"辭","['so']"
"令","['lyeG', 'lyeG']"
"必","['phil', 'phil']"
"當","['taG']"
"柄","['pyeG']"
"任","['Gim', 'Gim']"
"罔","['maG', 'maG']"
"爽","['saG', 'saG']"
"優","['Gwu', 'Gwu']"
"隆","['lyuG']"
"耆","['ki']"
"耈","['kwu']"
"摩","['ma']"
"哺","['pwo']"
"嬰","['GyeG']"
"孺","['Gyu']"
"賑","['cin']"
"活","['hwal']"
"死","['so']"
"傷","['syaG']"
"恕","['sye']"
"宥","['Gyu']"
"罹","['li']"
"殃","['GaG']"
"慶","['kyeG']"
"賞","['syaG']"
"刑","['hyeG']"
"罰","['pel']"
"整","['cyeG']"
"治","['thi', 'thi']"
"政","['cyeG']"
"務","['mwu']"
"選","['syen']"
"吏","['ni', 'ni']"
"宰","['coy']"
"郡","['kwun']"
"揀","['kan']"
"將","['cyaG', 'caG']"
"殺","['sal']"
"寇","['kwu']"
"鎭","['tin']"
"定","['tyeG']"
"防","['paG']"
"禦","['Ge']"
"營","['GyeG']"
"築","['thyuk']"
"創","['chaG']"
"構","['kwu']"
"拯","['cuG']"
"濟","['cyey', 'cyey']"
"救","['kwu']"
"拔","['pal']"
"扶","['pwu']"
"掖","['Goyk']"
"佐","['cwa']"
"助","['cwo']"
"驚","['kyeG']"
"感","['kam']"
"嗟","['cha']"
"嘆","['than']"
"思","['so', 'so']"
"想","['syaG']"
"戀","['lyen']"
"慕","['mwo']"
"惠","['hyey']"
"貺","['hwaG']"
"償","['syaG']"
"報","['pwo']"
"疾","['cil']"
"病","['pyeG']"
"痊","['cyen']"
"愈","['Gyu', 'Gyu']"
"忍","['Gin', 'GiG']"
"耐","['nay']"
"辛","['sin']"
"苦","['kwo']"
"嘗","['syaG']"
"由","['Gyu']"
"險","['hem']"
"阻","['cwo']"
"嗅","['hwu']"
"咀","['cye']"
"臭","['chwuy']"
"味","['mi']"
"妙","['myo']"
"造","['cwo']"
"灸","['kwu']"
"餌","['Gi']"
"觀","['kwan']"
"曜","['Gyo']"
"測","['chuk']"
"晷","['kwu']"
"筮","['sye']"
"基","['kuy']"
"獲","['hwoyk']"
"祉","['ci']"
"誕","['than']"
"謾","['man']"
"怳","['hwaG']"
"惚","['hwol']"
"惛","['hwon']"
"懵","['mwoG']"
"睿","['Gyey']"
"哲","['thyel']"
"支","['ci']"
"傾","['kyeG']"
"補","['pwo']"
"缺","['kyel']"
"續","['syok']"
"斷","['tan']"
"繼","['kyey']"
"絶","['cyel']"
"憐","['nyen']"
"憫","['min']"
"禍","['hwa']"
"患","['hwan']"
"歡","['hwan']"
"娛","['Gwo']"
"欣","['hun']"
"悅","['Gyel']"
"聰","['chwoG']"
"不","['pul']"
"遺","['Gyu']"
"忘","['maG']"
"願","['Gwen']"
"期","['kuy']"
"誠","['syeG']"
"渴","['kal']"
"諮","['co']"
"議","['Guy']"
"商","['syaG']"
"量","['lyaG', 'lyaG']"
"建","['ken']"
"置","['thi']"
"運","['Gwun']"
"斡","['Gal']"
"勗","['Gwuk']"
"誡","['kyey']"
"侯","['hwu']"
"帥","['syu', 'swol']"
"撫","['mwu']"
"鍊","['nyen']"
"軍","['kwun']"
"卒","['cwol', 'cwol']"
"蠲","['kyen']"
"弊","['phyey']"
"袪","['ke', 'ke']"
"欝","['Gwul']"
"賙","['cyu']"
"急","['kup']"
"蘇","['swo']"
"悴","['chᆐ']"
"盟","['moyG']"
"誓","['sye']"
"祈","['kuy']"
"祝","['chyuk']"
"齋","['coy']"
"醮","['chyo']"
"禱","['two']"
"祀","['so']"
"輸","['syu']"
"納","['nap']"
"薦","['chyen']"
"獻","['hen']"
"奉","['pwoG']"
"陪","['poy']"
"侍","['si']"
"衛","['Gwuy']"
"詔","['cyo']"
"敕","['thik']"
"普","['pwo']"
"滲","['som']"
"駕","['ka']"
"御","['Ge']"
"遐","['ha']"
"邇","['Gi']"
"誅","['tyu']"
"伐","['pel']"
"悖","['phay']"
"叛","['pan']"
"杜","['twu']"
"截","['cyel']"
"僭","['chom']"
"擬","['Guy']"
"恐","['kwoG']"
"懼","['kwu']"
"惶","['hwaG']"
"悚","['syoG']"
"慙","['cham']"
"愧","['kwoy']"
"赧","['lan']"
"耻","['thi', 'thi']"
"怏","['GaG']"
"慊","['kyem', 'kyem']"
"快","['khway']"
"愜","['hyem']"
"坦","['than']"
"夷","['Gi', 'Gi']"
"忌","['kuy']"
"諱","['hwuy']"
"涵","['ham']"
"泳","['GyeG']"
"稽","['kyey']"
"鑑","['kam']"
"敦","['twon']"
"篤","['twok']"
"蹈","['two']"
"履","['li']"
"矜","['kuG', 'kuG']"
"誇","['kwa']"
"踊","['GyoG']"
"躍","['Gyak']"
"謙","['kyem']"
"讓","['GyaG']"
"拱","['kwoG']"
"避","['phi']"
"擯","['pin']"
"邈","['mak']"
"蠱","['kwo']"
"嬖","['phyey']"
"維","['Gyu']"
"綸","['lyun']"
"戚","['chyek']"
"類","['nyu']"
"塤","['hwun']"
"箎","['ti']"
"伯","['poyk']"
"仲","['tyuG']"
"襟","['kum']"
"裾","['ke']"
"昆","['kwon']"
"季","['kyey']"
"端","['tan']"
"畜","['thyuk']"
"肧","['poy']"
"胎","['thoy']"
"甄","['kyen']"
"馴","['syun']"
"稚","['thi']"
"孩","['hoy']"
"顚","['tyen']"
"倒","['two']"
"徐","['sye']"
"緩","['Gwan']"
"飄","['phyo']"
"狂","['kwaG']"
"嚴","['Gem']"
"黙","['muk']"
"念","['nyem']"
"先","['syen']"
"記","['kuy']"
"故","['kwo', 'kwo']"
"惟","['Gyu', 'Gyu']"
"舊","['kwu']"
"憶","['Gek']"
"昔","['syek']"
"秘","['pi']"
"櫝","['twok']"
"幽","['Gyu']"
"奇","['kuy']"
"賈","['kwo', 'ka']"
"售","['syu']"
"儲","['tye']"
"蓄","['thyuk']"
"厭","['Gyem']"
"飫","['Ge']"
"餓","['Ga']"
"餒","['lwoy']"
"壯","['caG']"
"偉","['Gwuy']"
"羸","['li']"
"瘠","['chyek']"
"紓","['sye']"
"督","['twok']"
"逋","['pwo', 'pwo']"
"欠","['hum']"
"診","['tin']"
"療","['lyo']"
"痼","['kwo']"
"癖","['pyek']"
"按","['Gan']"
"問","['mwun']"
"眞","['cin']"
"僞","['Gwuy']"
"識","['sik', 'ci']"
"辨","['pyen']"
"曲","['kwok']"
"直","['tik']"
"證","['cuG']"
"據","['ke']"
"訂","['tyeG']"
"決","['kyel']"
"崇","['syuG', 'syuG']"
"尙","['syaG', 'syaG']"
"詆","['tye']"
"斥","['chyek']"
"惻","['chuk']"
"怛","['tal']"
"痛","['thwoG']"
"悶","['min']"
"懈","['hoy']"
"弛","['Gi']"
"振","['cin']"
"措","['cwo']"
"臧","['caG']"
"否","['pi', 'pwu']"
"褒","['phwo']"
"貶","['phyem']"
"遣","['kyen']"
"免","['myen']"
"賚","['lwoy']"
"予","['Gye', 'Gye']"
"往","['GwaG']"
"還","['hwan']"
"去","['ke']"
"來","['loy']"
"寓","['Gwu']"
"過","['kwa', 'kwa']"
"留","['lyu']"
"住","['tyu']"
"從","['cyoG']"
"違","['Gwuy']"
"順","['syun']"
"逆","['Gyek']"
"爭","['coyG', 'coyG']"
"奪","['thal']"
"戰","['cyen']"
"鬪","['thwu']"
"法","['pep']"
"制","['cyey']"
"禁","['kum']"
"責","['choyk']"
"諷","['phwuG']"
"諫","['kan']"
"誥","['kwo']"
"諭","['Gyu']"
"修","['syu']"
"擧","['ke']"
"勳","['hwun']"
"業","['Gep']"
"操","['cwo']"
"施","['si']"
"權","['kwen']"
"度","['two', 'thak']"
"考","['kwo']"
"律","['lyul', 'lyul']"
"遵","['cwun']"
"憲","['hen']"
"剸","['cyen']"
"煩","['pen']"
"辦","['phan']"
"劇","['kuk']"
"逖","['tyek']"
"覰","['chye']"
"穹","['kwuG']"
"壤","['GyaG']"
"申","['sin']"
"詢","['syun']"
"氓","['moyG']"
"俗","['syok']"
"浩","['hwo']"
"溥","['pwu']"
"饋","['kwey']"
"頒","['pan']"
"揆","['kyu']"
"計","['kyey']"
"秩","['til']"
"級","['kup']"
"擢","['thak']"
"委","['Gwuy', 'Gwuy']"
"俊","['cyun']"
"乂","['Gyey']"
"捕","['pwo']"
"斬","['cham']"
"盜","['two']"
"賊","['cek']"
"檢","['kem']"
"飭","['thik']"
"姬","['huy']"
"僮","['twoG']"
"諦","['thyey']"
"覈","['hoyk']"
"囚","['syu']"
"謫","['tyek']"
"湔","['cyen']"
"洗","['syey']"
"寃","['Gwen']"
"枉","['GwaG']"
"損","['swon']"
"歇","['hel']"
"征","['cyeG', 'cyeG']"
"役","['Gyek']"
"審","['sim']"
"訟","['syoG']"
"恤","['hyul']"
"獄","['Gwok']"
"懲","['tiG', 'tiG']"
"罪","['cwoy']"
"威","['Gwuy']"
"敵","['tyek', 'tyek']"
"育","['Gyuk']"
"迪","['tyek']"
"黔","['kem']"
"蒼","['chaG']"
"馭","['Ge']"
"綏","['Gyu']"
"戎","['GyuG']"
"狄","['tyek']"
"郎","['laG']"
"僚","['nyo']"
"恪","['kak']"
"仕","['so']"
"豪","['hwo']"
"傑","['kel']"
"授","['swu']"
"爵","['cyak']"
"敷","['pwu']"
"陣","['tin']"
"忱","['thim']"
"悃","['kwon']"
"獎","['cyaG']"
"寵","['thyoG']"
"卑","['pi']"
"託","['thak']"
"纔","['co']"
"僅","['kun']"
"堪","['kam']"
"丁","['tyeG']"
"周","['cyu']"
"緻","['thi']"
"舛","['chyen']"
"錯","['chak']"
"愍","['min']"
"慼","['chyek']"
"饑","['kuy']"
"哭","['kwok']"
"蕩","['thaG']"
"滌","['thyek']"
"荷","['ha']"
"毒","['twok']"
"瞻","['chyem']"
"覩","['two']"
"鈞","['kyun']"
"軸","['thyuk']"
"謠","['Gyo']"
"頌","['syoG']"
"元","['Gwen']"
"宿","['syuk', 'syu']"
"邦","['paG']"
"廷","['tyeG']"
"蓍","['si']"
"蔡","['chway']"
"鄕","['hyaG']"
"黨","['taG']"
"儀","['Guy']"
"測","['chuk', 'cuk']"
"配","['poy']"
"偶","['Gwu']"
"允","['Gyun']"
"適","['tyek', 'tyek']"
"嗣","['sa']"
"胤","['Gyun']"
"祗","['ci']"
"式","['sik']"
"祭","['cyey']"
"酹","['lwoy']"
"墳","['pwun']"
"墓","['myo']"
"享","['hyaG']"
"歆","['hum']"
"魂","['hwon']"
"魄","['poyk']"
"管","['kwan']"
"攝","['syep']"
"兵","['pyeG']"
"農","['lwoG']"
"攘","['GyaG']"
"刮","['kwal']"
"仙","['syen']"
"佛","['pwul']"
"裒","['pwu']"
"輯","['cup']"
"謨","['mwo']"
"籍","['cyek']"
"煒","['Gwuy']"
"燁","['nyep']"
"箋","['cyen']"
"註","['cwu']"
"綴","['thyu', 'thyel']"
"緝","['cup']"
"纂","['can']"
"錄","['lwok']"
"裨","['pi']"
"苴","['cye']"
"孔","['kwoG']"
"漏","['lwu']"
"襲","['sup', 'sup']"
"傳","['tyen', 'tyen']"
"篇","['hon', 'phyen']"
"藁","['kwo', 'kwo']"
"殄","['tin']"
"殲","['syem']"
"蛀","['cwu']"
"蠹","['twu']"
"籌","['tyu']"
"策","['choyk', 'choyk']"
"鈐","['kum']"
"轄","['hal']"
"控","['kwoG']"
"勒","['luk']"
"踶","['tyey']"
"齧","['hyel']"
"援","['Gwen']"
"挽","['man']"
"諧","['hoy']"
"雍","['GwoG']"
"拒","['ke']"
"捍","['han']"
"抗","['haG']"
"格","['kyek', 'kyek']"
"諛","['Gyu']"
"佞","['lyeG', 'lyeG']"
"讒","['cham']"
"訴愬","['swo']"
"鯁","['kyeG']"
"亮","['lyaG', 'lyaG']"
"讜","['taG']"
"諤","['Gak']"
"掄","['lyun']"
"締","['thyey']"
"婚","['hwon']"
"姻","['Gin']"
"垂","['syu']"
"貽","['Gi']"
"禧","['huy']"
"祚","['cwo']"
"掩","['Gem']"
